,Symbol,Name,Industry,IndustryCode
1036,BUSE,First Busey Corp,은행,551010
1037,TRMR,Tremor International Ltd ADR,미디어 및 출판,533020
1038,JRVR,James River Group Holdings Ltd,보험,553010
1039,MLAB,Mesa Laboratories Inc,"건설장비 및 대형차, 기차, 배",521020
1040,IMGN,ImmunoGen Inc,생명과학 및 메디컬 리서치,562020
1041,ZEAL,Zealand Pharma A/S ADR,생명과학 및 메디컬 리서치,562020
1042,BCAB,Bioatla Inc,생명과학 및 메디컬 리서치,562020
1043,VALN,Valneva SE ADR,생명과학 및 메디컬 리서치,562020
1044,TRS,TriMas Corp,"건설장비 및 대형차, 기차, 배",521020
1045,NESR,National Energy Services Reunited Corp,오일 및 가스 장비 및 서비스,501030
1046,HMHC,Houghton Mifflin Harcourt Co,전문 및 상업 서비스,522030
1047,NVEE,NV5 Global Inc,건설 및 엔지니어링,522010
1048,MGNX,MacroGenics Inc,생명과학 및 메디컬 리서치,562020
1049,EXTR,Extreme Networks Inc,커뮤니케이션 및 네트워킹,571020
1050,PGEN,Precigen Inc,생명과학 및 메디컬 리서치,562020
1051,IRCP,IRSA Propiedades Comerciales SA ADR,주택 및 상업용 리츠,601020
1052,TBBK,Bancorp Inc,은행,551010
1053,CMCO,Columbus McKinnon Corp,"건설장비 및 대형차, 기차, 배",521020
1054,OCGN,Ocugen Inc,생명과학 및 메디컬 리서치,562020
1055,TVTY,Tivity Health Inc,헬스케어 업체 및 서비스,561020
1056,EWTX,Edgewise Therapeutics Inc,생명과학 및 메디컬 리서치,562020
1057,AGYS,Agilysys Inc,소프트웨어 및 IT서비스,572010
1058,STKL,Sunopta Inc,식품 및 담배,541020
1059,ALVR,Allovir Inc,생명과학 및 메디컬 리서치,562020
1060,ACLS,Axcelis Technologies Inc,반도체 및 반도체 장비,571010
1061,IDEX,Ideanomics Inc,핀테크,573010
1062,KFRC,Kforce Inc,전문 및 상업 서비스,522030
1063,SCHN,Schnitzer Steel Industries Inc Class A,메탈&마이닝,512010
1064,DMTK,DermTech Inc,헬스케어 장비 및 용품,561010
1065,ADUS,Addus Homecare Corp,헬스케어 업체 및 서비스,561020
1066,NRIX,Nurix Therapeutics Inc,생명과학 및 메디컬 리서치,562020
1067,LASR,nLIGHT Inc,반도체 및 반도체 장비,571010
1068,SCHL,Scholastic Corp,미디어 및 출판,533020
1069,MNMD,Mind Medicine (MindMed) Inc,생명과학 및 메디컬 리서치,562020
1070,PLCE,Children's Place Inc,전문품 상점,534030
1071,LMAT,LeMaitre Vascular Inc,헬스케어 장비 및 용품,561010
1072,FORTY,Formula Systems 1985 Ltd ADR,소프트웨어 및 IT서비스,572010
1073,QADA,QAD Inc Class A,소프트웨어 및 IT서비스,572010
1074,DAWN,Day One Biopharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
1075,TCBK,Trico Bancshares,은행,551010
1076,SBSI,Southside Bancshares Inc,은행,551010
1077,USCR,US Concrete Inc,건축 자재,512020
1078,ATRA,Atara Biotherapeutics Inc,생명과학 및 메디컬 리서치,562020
1079,RPTX,Repare Therapeutics Inc,생명과학 및 메디컬 리서치,562020
1080,KIDS,OrthoPediatrics Corp,헬스케어 장비 및 용품,561010
1081,WFRD,Weatherford International PLC,오일 및 가스 장비 및 서비스,501030
1082,GRPN,Groupon Inc,다양한 소매업,534020
1083,KROS,Keros Therapeutics Inc,생명과학 및 메디컬 리서치,562020
1084,IPSC,Century Therapeutics Inc,생명과학 및 메디컬 리서치,562020
1085,SNEX,Stonex Group Inc,투자은행 및 서비스,551020
1086,GDEN,Golden Entertainment Inc,호텔 및 엔터테인먼트,533010
1087,TRVG,Trivago NV ADR,소프트웨어 및 IT서비스,572010
1088,NMFC,New Mountain Finance Corp,다양한 금융서비스,555010
1089,IMOS,ChipMOS Technologies Inc ADR,반도체 및 반도체 장비,571010
1090,UPLD,Upland Software Inc,소프트웨어 및 IT서비스,572010
1091,MBIN,Merchants Bancorp,은행,551010
1092,FMTX,Forma Therapeutics Holdings Inc,생명과학 및 메디컬 리서치,562020
1093,RMR,RMR Group Inc Class A,부동산 운영 관리,601010
1094,STTK,Shattuck Labs Inc,생명과학 및 메디컬 리서치,562020
1095,PNTG,Pennant Group Inc,헬스케어 업체 및 서비스,561020
1096,OCFC,OceanFirst Financial Corp,은행,551010
1097,RTPY,Reinvent Technology Partners Y Class A,기타 금융업,556010
1098,MNTK,Montauk Renewables Inc,전기 유틸리티,591010
1099,TRHC,Tabula Rasa HealthCare Inc,헬스케어 장비 및 용품,561010
1100,ENDP,Endo International PLC,제약,562010
1101,SKYT,Skywater Technology Inc,반도체 및 반도체 장비,571010
1102,STBA,S&T Bancorp Inc,은행,551010
1103,SHYF,Shyft Group Inc,자동차 및 자동차 부품,531010
1104,MCRI,Monarch Casino & Resort Inc,호텔 및 엔터테인먼트,533010
1105,GOGO,Gogo Inc,통신 서비스,574010
1106,QQQX,Nuveen Nasdaq 100 Dynamic Overwrite Fund,다양한 금융서비스,555010
1107,JOUT,Johnson Outdoors Inc Class A,레저 상품,532050
1108,PI,Impinj Inc,반도체 및 반도체 장비,571010
1109,PLYA,Playa Hotels & Resorts NV,호텔 및 엔터테인먼트,533010
1110,SCR,Score Media and Gaming Inc Class A,소프트웨어 및 IT서비스,572010
1111,PAHC,Phibro Animal Health Corp Class A,제약,562010
1112,CNXN,PC Connection Inc,통합 하드웨어 및 소프트웨어,571070
1113,VNOM,Viper Energy Partners LP Unit,오일 및 가스,501020
1114,OCSL,Oaktree Specialty Lending Corp,다양한 금융서비스,555010
1115,FBNC,First Bancorp (North Carolina),은행,551010
1116,ARKO,Arko Corp. Class A,오일 및 가스,501020
1117,SAFT,Safety Insurance Group Inc,보험,553010
1118,CHY,Calamos Convertible & High Income Fund,다양한 금융서비스,555010
1119,CHEF,Chefs' Warehouse Inc,식품 및 약품소매,543010
1120,BRKL,Brookline Bancorp Inc,은행,551010
1121,AGEN,Agenus Inc,생명과학 및 메디컬 리서치,562020
1122,RNLX,Renalytix AI PLC ADR,소프트웨어 및 IT서비스,572010
1123,SYBT,Stock Yards Bancorp Inc,은행,551010
1124,CHCO,City Holding Co,은행,551010
1125,PETQ,PetIQ Inc Class A,제약,562010
1126,NAUT,Nautilus Biotechnology Inc,생명과학 및 메디컬 리서치,562020
1127,BPFH,Boston Private Financial Holdings Inc,은행,551010
1128,NTGR,NETGEAR Inc,커뮤니케이션 및 네트워킹,571020
1129,PLUS,ePlus inc,소프트웨어 및 IT서비스,572010
1130,CMBM,Cambium Networks Corp,커뮤니케이션 및 네트워킹,571020
1131,EJH,E-Home Household Service Holdings Ltd,"개인, 가정 용품 및 서비스",542010
1132,SRCE,1st Source Corp,은행,551010
1133,ECOL,US Ecology Inc,전문 및 상업 서비스,522030
1134,HIBB,Hibbett Sports Inc,전문품 상점,534030
1135,GGAL,Grupo Financiero Galicia SA ADR,은행,551010
1136,OPRA,Opera Ltd ADR,소프트웨어 및 IT서비스,572010
1137,VECO,Veeco Instruments Inc,반도체 및 반도체 장비,571010
1138,ERII,Energy Recovery Inc,"건설장비 및 대형차, 기차, 배",521020
1139,AMSF,Amerisafe Inc,보험,553010
1140,HEES,H&E Equipment Services Inc,전문 및 상업 서비스,522030
1141,NXGN,NextGen Healthcare Inc,소프트웨어 및 IT서비스,572010
1142,TBPH,Theravance Biopharma Inc,제약,562010
1143,IMKTA,Ingles Markets Inc Class A,식품 및 약품소매,543010
1144,GRBK,Green Brick Partners Inc,주택건설,532030
1145,MATW,Matthews International Corp Class A,미디어 및 출판,533020
1146,UXIN,Uxin Ltd ADR,소프트웨어 및 IT서비스,572010
1147,SWBI,Smith & Wesson Brands Inc,레저 상품,532050
1148,CVGW,Calavo Growers Inc,식품 및 담배,541020
1149,ZUMZ,Zumiez Inc,전문품 상점,534030
1150,MILE,Metromile Inc,보험,553010
1151,SBTX,Silverback Therapeutics Inc,생명과학 및 메디컬 리서치,562020
1152,IESC,IES Holdings Inc,건설 및 엔지니어링,522010
1153,HURN,Huron Consulting Group Inc,전문 및 상업 서비스,522030
1154,ALTM,Altus Midstream Co Class A,오일 및 가스 장비 및 서비스,501030
1155,NRC,National Research Corp,전문 및 상업 서비스,522030
1156,ICLK,iClick Interactive Asia Group Ltd ADR,미디어 및 출판,533020
1157,CGEM,Cullinan Oncology Inc,생명과학 및 메디컬 리서치,562020
1158,PCVX,Vaxcyte Inc,생명과학 및 메디컬 리서치,562020
1159,WRLD,World Acceptance Corp,은행,551010
1160,EPIX,ESSA Pharma Inc,생명과학 및 메디컬 리서치,562020
1161,ACRS,Aclaris Therapeutics Inc,생명과학 및 메디컬 리서치,562020
1162,MESO,Mesoblast Ltd ADR,생명과학 및 메디컬 리서치,562020
1163,CLDX,Celldex Therapeutics Inc,생명과학 및 메디컬 리서치,562020
1164,DYN,Dyne Therapeutics Inc,생명과학 및 메디컬 리서치,562020
1165,IMVT,Immunovant Inc,생명과학 및 메디컬 리서치,562020
1166,AUDC,AudioCodes Ltd,커뮤니케이션 및 네트워킹,571020
1167,ATRI,Atrion Corp,헬스케어 장비 및 용품,561010
1168,SLP,Simulations Plus Inc,헬스케어 장비 및 용품,561010
1169,PHAT,Phathom Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
1170,BJRI,BJ's Restaurants Inc,호텔 및 엔터테인먼트,533010
1171,MASS,908 Devices Inc.,"건설장비 및 대형차, 기차, 배",521020
1172,RBBN,Ribbon Communications Inc,커뮤니케이션 및 네트워킹,571020
1173,PSNL,Personalis Inc,생명과학 및 메디컬 리서치,562020
1174,HGEN,Humanigen Inc,제약,562010
1175,THRY,Thryv Holdings Inc,미디어 및 출판,533020
1176,CHRS,Coherus BioSciences Inc,생명과학 및 메디컬 리서치,562020
1177,PLL,Piedmont Lithium Inc,화학,511010
1178,JYNT,Joint Corp,헬스케어 업체 및 서비스,561020
1179,SRRK,Scholar Rock Holding Corp,생명과학 및 메디컬 리서치,562020
1180,EBSB,Meridian Bancorp Inc (MARYLAND),은행,551010
1181,CHI,Calamos Convertible Opportunities and Income Fund,다양한 금융서비스,555010
1182,VNDA,Vanda Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
1183,HERA,FTAC Hera Acquisition Corp Class A,기타 금융업,556010
1184,MNKD,MannKind Corp,생명과학 및 메디컬 리서치,562020
1185,ATEX,Anterix Inc,통신 서비스,574010
1186,BATRK,Liberty Media Corp Series C,미디어 및 출판,533020
1187,DENN,Denny's Corp,호텔 및 엔터테인먼트,533010
1188,GSKY,GreenSky Inc Class A,핀테크,573010
1189,LOVE,Lovesac Co,가정용품,532040
1190,PYR,Pyrogenesis Canada Inc,전문 및 상업 서비스,522030
1191,FNKO,Funko Inc Class A,레저 상품,532050
1192,SGH,Smart Global Holdings Inc,반도체 및 반도체 장비,571010
1193,OSPN,OneSpan Inc,소프트웨어 및 IT서비스,572010
1194,INSG,Inseego Corp,커뮤니케이션 및 네트워킹,571020
1195,AKRO,Akero Therapeutics Inc,생명과학 및 메디컬 리서치,562020
1196,PFC,Premier Financial Corp (OHIO),은행,551010
1197,VREX,Varex Imaging Corp,헬스케어 장비 및 용품,561010
1198,PLRX,Pliant Therapeutics Inc,제약,562010
1199,KNTE,Kinnate Biopharma Inc,생명과학 및 메디컬 리서치,562020
1200,COWN,Cowen Inc Class A,투자은행 및 서비스,551020
1201,CNOB,ConnectOne Bancorp Inc,은행,551010
1202,OCUL,Ocular Therapeutix Inc,제약,562010
1203,CENX,Century Aluminum Co,메탈&마이닝,512010
1204,RYTM,Rhythm Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
1205,KNSA,Kiniksa Pharmaceuticals Ltd Class A,생명과학 및 메디컬 리서치,562020
1206,JBSS,John B Sanfilippo & Son Inc,식품 및 담배,541020
1207,DVAX,Dynavax Technologies Corp,생명과학 및 메디컬 리서치,562020
1208,EBIX,Ebix Inc,소프트웨어 및 IT서비스,572010
1209,FWONA,Liberty Media Corp Series A,미디어 및 출판,533020
1210,LE,Lands End Inc,전문품 상점,534030
1211,SIBN,SI-BONE Inc,헬스케어 장비 및 용품,561010
1212,LGO,Largo Resources Ltd,우라늄,503010
1213,TRIL,Trillium Therapeutics Inc,생명과학 및 메디컬 리서치,562020
1214,BOOM,DMC Global Inc,오일 및 가스 장비 및 서비스,501030
1215,RNA,Avidity Biosciences Inc,제약,562010
1216,INBX,Inhibrx Inc,생명과학 및 메디컬 리서치,562020
1217,EOSE,Eos Energy Enterprises Inc Class A,"건설장비 및 대형차, 기차, 배",521020
1218,ZGNX,Zogenix Inc,생명과학 및 메디컬 리서치,562020
1219,CMAX,CareMax Inc Class A,기타 금융업,556010
1220,HLG,Hailiang Education Group Inc ADR,비즈니스교육,631030
1221,RTPYU,Reinvent Technology Partners Y,기타 금융업,556010
1222,GABC,German American Bancorp Inc,은행,551010
1223,BVS,Bioventus Inc Class A,헬스케어 장비 및 용품,561010
1224,TCMD,Tactile Systems Technology Inc,헬스케어 장비 및 용품,561010
1225,VBIV,VBI Vaccines Inc,생명과학 및 메디컬 리서치,562020
1226,DIBS,1stdibs.Com Inc,소프트웨어 및 IT서비스,572010
1227,FTCI,FTC Solar Inc,건설 및 엔지니어링,522010
1228,SY,So-Young International Inc ADR,소프트웨어 및 IT서비스,572010
1229,CEVA,CEVA Inc,반도체 및 반도체 장비,571010
1230,VUZI,Vuzix Corp,전자 장비 및 부품,571040
1231,RXDX,Prometheus Biosciences Inc,생명과학 및 메디컬 리서치,562020
1232,RAPT,Rapt Therapeutics Inc,생명과학 및 메디컬 리서치,562020
1233,ALGS,Aligos Therapeutics Inc,생명과학 및 메디컬 리서치,562020
1234,GNOG,Golden Nugget Online Gaming Inc Class A,소프트웨어 및 IT서비스,572010
1235,OLMA,Olema Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
1236,CNTB,Connect Biopharma Holdings Ltd ADR,생명과학 및 메디컬 리서치,562020
1237,FFWM,First Foundation Inc,은행,551010
1238,GGPI,Gores Guggenheim Inc Class A,기타 금융업,556010
1239,EVER,EverQuote Inc Class A,소프트웨어 및 IT서비스,572010
1240,CERS,Cerus Corp,헬스케어 장비 및 용품,561010
1241,TSHA,Taysha Gene Therapies Inc,생명과학 및 메디컬 리서치,562020
1242,ANDE,Andersons Inc,식품 및 담배,541020
1243,NTUS,Natus Medical Inc,헬스케어 장비 및 용품,561010
1244,ANGO,AngioDynamics Inc,헬스케어 장비 및 용품,561010
1245,ADTN,ADTRAN Inc,커뮤니케이션 및 네트워킹,571020
1246,QNST,Quinstreet Inc,미디어 및 출판,533020
1247,IIIV,I3 Verticals Inc Class A,전문 및 상업 서비스,522030
1248,KRNY,Kearny Financial Corp,은행,551010
1249,FTOC,FTAC Olympus Acquisition Corp Class A,기타 금융업,556010
1250,AMPH,Amphastar Pharmaceuticals Inc,제약,562010
1251,DHC,Diversified Healthcare Trust,주택 및 상업용 리츠,601020
1252,OBNK,Origin Bancorp Inc,은행,551010
1253,BROG,Brooge Energy Ltd,오일 및 가스 장비 및 서비스,501030
1254,TVTX,Travere Therapeutics Inc,생명과학 및 메디컬 리서치,562020
1255,MRSN,Mersana Therapeutics Inc,생명과학 및 메디컬 리서치,562020
1256,AFMD,Affimed NV,생명과학 및 메디컬 리서치,562020
1257,VXRT,Vaxart Inc,생명과학 및 메디컬 리서치,562020
1258,BOMN,Boston Omaha Corp Class A,미디어 및 출판,533020
1259,APOG,Apogee Enterprises Inc,주택건설,532030
1260,CCXI,ChemoCentryx Inc,제약,562010
1261,PFBC,Preferred Bank,은행,551010
1262,RBCAA,Republic Bancorp Inc Class A,은행,551010
1263,PRAX,Praxis Precision Medicines Inc,생명과학 및 메디컬 리서치,562020
1264,OMER,Omeros Corp,생명과학 및 메디컬 리서치,562020
1265,VRAY,ViewRay Inc,헬스케어 장비 및 용품,561010
1266,CONX,CONX Corp Class A,기타 금융업,556010
1267,BTAI,BioXcel Therapeutics Inc,생명과학 및 메디컬 리서치,562020
1268,APR,Apria Inc,헬스케어 업체 및 서비스,561020
1269,SNDX,Syndax Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
1270,GRCL,Gracell Biotechnologies Inc ADR,생명과학 및 메디컬 리서치,562020
1271,ENTA,Enanta Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
1272,ARCT,Arcturus Therapeutics Holdings Inc,생명과학 및 메디컬 리서치,562020
1273,WETF,Wisdom Tree Investments Inc,투자은행 및 서비스,551020
1274,GDYN,Grid Dynamics Holdings Inc Class A,소프트웨어 및 IT서비스,572010
1275,STRO,Sutro Biopharma Inc,생명과학 및 메디컬 리서치,562020
1276,RADI,Radius Global Infrastructure Inc Class A,부동산 운영 관리,601010
1277,ANNX,Annexon Inc,제약,562010
1278,HOLI,Hollysys Automation Technologies Ltd,"건설장비 및 대형차, 기차, 배",521020
1279,TRCH,Torchlight Energy Resources Inc,오일 및 가스,501020
1280,CRMT,America's CAR-MART Inc,전문품 상점,534030
1281,GLDD,Great Lakes Dredge & Dock Corp,건설 및 엔지니어링,522010
1282,GSM,Ferroglobe PLC,메탈&마이닝,512010
1283,PRDO,Perdoceo Education Corp,교육서비스,631010
1284,PTNR,Partner Communications Company Ltd ADR,통신 서비스,574010
1285,TGLS,Tecnoglass Inc,주택건설,532030
1286,OPRX,OPTIMIZERx Corp,소프트웨어 및 IT서비스,572010
1287,GRVY,Gravity Co Ltd ADR,소프트웨어 및 IT서비스,572010
1288,HPK,Highpeak Energy Inc,오일 및 가스 장비 및 서비스,501030
1289,ORBC,ORBCOMM Inc,통신 서비스,574010
1290,AACQ,Artius Acquisition Inc Class A,기타 금융업,556010
1291,BLDE,Blade Air Mobility Inc Class A,기타 금융업,556010
1292,SCVL,Shoe Carnival Inc,전문품 상점,534030
1293,AFIN,American Finance Trust Inc Class A,주택 및 상업용 리츠,601020
1294,AINV,Apollo Investment Corp,투자은행 및 서비스,551020
1295,VIVO,Meridian Bioscience Inc,헬스케어 장비 및 용품,561010
1296,HFWA,Heritage Financial Corp,은행,551010
1297,GTHX,G1 Therapeutics Inc,생명과학 및 메디컬 리서치,562020
1298,CTLP,Cantaloupe Inc,핀테크,573010
1299,ITOS,Iteos Therapeutics Inc,생명과학 및 메디컬 리서치,562020
1300,PRTS,Carparts.Com Inc,전문품 상점,534030
1301,EVLO,Evelo Biosciences Inc,생명과학 및 메디컬 리서치,562020
1302,WASH,Washington Trust Bancorp Inc,은행,551010
1303,EPZM,Epizyme Inc,생명과학 및 메디컬 리서치,562020
1304,RDUS,Radius Health Inc,생명과학 및 메디컬 리서치,562020
1305,TILE,Interface Inc,가정용품,532040
1306,NKTX,Nkarta Inc,생명과학 및 메디컬 리서치,562020
1307,OGI,OrganiGram Holdings Inc,제약,562010
1308,LBAI,Lakeland Bancorp Inc,은행,551010
1309,HMPT,Home Point Capital Inc,은행,551010
1310,ORIC,Oric Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
1311,AXGN,AxoGen Inc,헬스케어 장비 및 용품,561010
1312,AEPPZ,American Electric Power Company Inc,전기 유틸리티,591010
1313,HMST,HomeStreet Inc,은행,551010
1314,KELYA,Kelly Services Inc Class A,전문 및 상업 서비스,522030
1315,BCOR,Blucora Inc,투자은행 및 서비스,551020
1316,HSII,Heidrick & Struggles International Inc,전문 및 상업 서비스,522030
1317,ARLP,Alliance Resource Partners LP Unit,석유,501010
1318,BMTC,Bryn Mawr Bank Corp,은행,551010
1319,VITL,Vital Farms Inc,식품 및 약품소매,543010
1320,VINP,Vinci Partners Investments Ltd Class A,투자은행 및 서비스,551020
1321,MRUS,Merus NV,생명과학 및 메디컬 리서치,562020
1322,CUTR,Cutera Inc,헬스케어 장비 및 용품,561010
1323,NWLI,National Western Life Group Inc Class A,보험,553010
1324,AFINO,American Finance Trust Inc PRF,주택 및 상업용 리츠,601020
1325,CLCT,Collectors Universe Inc,전문 및 상업 서비스,522030
1326,FORR,Forrester Research Inc,미디어 및 출판,533020
1327,TCX,Tucows Inc,소프트웨어 및 IT서비스,572010
1328,TMDX,Transmedics Group Inc,헬스케어 장비 및 용품,561010
1329,PLAB,Photronics Inc,반도체 및 반도체 장비,571010
1330,VSTM,Verastem Inc,생명과학 및 메디컬 리서치,562020
1331,HERAU,FTAC Hera Acquisition Corp,기타 금융업,556010
1332,OSW,OneSpaWorld Holdings Ltd,호텔 및 엔터테인먼트,533010
1333,MITK,Mitek Systems Inc,소프트웨어 및 IT서비스,572010
1334,MGI,MoneyGram International Inc,전문 및 상업 서비스,522030
1335,HSTM,HealthStream Inc,소프트웨어 및 IT서비스,572010
1336,FTOCU,FTAC Olympus Acquisition Corp,기타 금융업,556010
1337,ECHO,Echo Global Logistics Inc,화물 및 물류 서비스,524050
1338,MERC,Mercer International Inc,종이 및 임산물,513010
1339,NFBK,Northfield Bancorp Inc,은행,551010
1340,OFIX,Orthofix Medical Inc,헬스케어 장비 및 용품,561010
1341,VFF,Village Farms International Inc,식품 및 담배,541020
1342,SLRC,SLR Investment Corp,다양한 금융서비스,555010
1343,PAE,PAE Inc Class A,우주항공 및 국방,521010
1344,GOOD,Gladstone Commercial Corp,주택 및 상업용 리츠,601020
1345,FANH,Fanhua Inc ADR,보험,553010
1346,ME,23Andme Holding Co Class A,기타 금융업,556010
1347,NRXP,NRX Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
1348,HLIT,Harmonic Inc,커뮤니케이션 및 네트워킹,571020
1349,CRNX,Crinetics Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
1350,KPTI,Karyopharm Therapeutics Inc,생명과학 및 메디컬 리서치,562020
1351,TCPC,BlackRock TCP Capital Corp,투자은행 및 서비스,551020
1352,KOPN,Kopin Corp,반도체 및 반도체 장비,571010
1353,HONE,HarborOne Bancorp Inc,은행,551010
1354,ALTA,Altabancorp,은행,551010
1355,COLL,Collegium Pharmaceutical Inc,제약,562010
1356,CASA,Casa Systems Inc,커뮤니케이션 및 네트워킹,571020
1357,JANX,Janux Therapeutics Inc,생명과학 및 메디컬 리서치,562020
1358,LIND,Lindblad Expeditions Holdings Inc,호텔 및 엔터테인먼트,533010
1359,AEPPL,American Electric Power Company Inc,전기 유틸리티,591010
1360,TIG,Trean Insurance Group Inc,보험,553010
1361,YI,111 Inc ADR,소프트웨어 및 IT서비스,572010
1362,MAXN,Maxeon Solar Technologies Ltd,재생에너지,502010
1363,ABTX,Allegiance Bancshares Inc,은행,551010
1364,LORL,Loral Space & Communications Inc,커뮤니케이션 및 네트워킹,571020
1365,SPWH,Sportsmans Warehouse Holdings Inc,전문품 상점,534030
1366,UVSP,Univest Financial Corp,은행,551010
1367,PASG,Passage Bio Inc,생명과학 및 메디컬 리서치,562020
1368,SLN,Silence Therapeutics PLC ADR,생명과학 및 메디컬 리서치,562020
1369,OXLC,Oxford Lane Capital Corp,다양한 금융서비스,555010
1370,VOR,Vor Biopharma Inc,생명과학 및 메디컬 리서치,562020
1371,AERI,Aerie Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
1372,RUTH,Ruth's Hospitality Group Inc,호텔 및 엔터테인먼트,533010
1373,FBMS,First Bancshares Inc (Mississippi),은행,551010
1374,YQ,17 Education & Technology Group Inc ADR,교육서비스,631010
1375,SPNE,SeaSpine Holdings Corp,헬스케어 장비 및 용품,561010
1376,ALZN,Alzamend Neuro Inc,생명과학 및 메디컬 리서치,562020
1377,CFB,Crossfirst Bankshares Inc,은행,551010
1378,KARO,Karooooo Ltd,소프트웨어 및 IT서비스,572010
1379,CMLF,CM Life Sciences Inc Class A,기타 금융업,556010
1380,AACQU,Artius Acquisition Inc Unit,기타 금융업,556010
1381,LCY,Landcadia Holdings III Inc Class A,기타 금융업,556010
1382,AMSWA,American Software Inc Class A,소프트웨어 및 IT서비스,572010
1383,FNCH,Finch Therapeutics Group Inc,생명과학 및 메디컬 리서치,562020
1384,BTWN,Bridgetown Holdings Ltd Class A,기타 금융업,556010
1385,NEWT,Newtek Business Services Corp,은행,551010
1386,CCD,Calamos Dynamic Convertible and Income Fund,다양한 금융서비스,555010
1387,CONXU,CONX Corp,기타 금융업,556010
1388,USLM,United States Lime & Minerals Inc,건축 자재,512020
1389,SESN,Sesen Bio Inc,생명과학 및 메디컬 리서치,562020
1390,LKCO,Luokung Technology Corp,소프트웨어 및 IT서비스,572010
1391,CONN,Conn's Inc,전문품 상점,534030
1392,GGPIU,Gores Guggenheim Inc,기타 금융업,556010
1393,VERI,Veritone Inc,소프트웨어 및 IT서비스,572010
1394,ETAC,E.Merge Technology Acquisition Corp Class A,기타 금융업,556010
1395,SVFA,SVF Investment Corp Class A,기타 금융업,556010
1396,IDYA,IDEAYA Biosciences Inc,생명과학 및 메디컬 리서치,562020
1397,HBNC,Horizon Bancorp Inc,은행,551010
1398,TWCT,TWC Tech Holdings II Corp,기타 금융업,556010
1399,WPRT,Westport Fuel Systems Inc,자동차 및 자동차 부품,531010
1400,GAN,Gan Ltd,소프트웨어 및 IT서비스,572010
1401,IMTX,Immatics NV,생명과학 및 메디컬 리서치,562020
1402,LMACA,Liberty Media Acquisition Corp Series A,기타 금융업,556010
1403,XENE,Xenon Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
1404,SP,SP Plus Corp,운송 인프라,524070
1405,PHAR,Pharming Group NV ADR,제약,562010
1406,LQDT,Liquidity Services Inc,소프트웨어 및 IT서비스,572010
1407,CGBD,TCG BDC Inc,은행,551010
1408,MGIC,Magic Software Enterprises Ltd,소프트웨어 및 IT서비스,572010
1409,AGC,Altimeter Growth Corp Class A,기타 금융업,556010
1410,QCRH,QCR Holdings Inc,은행,551010
1411,CLAR,Clarus Corp,레저 상품,532050
1412,STFC,State Auto Financial Corp,보험,553010
1413,CHUY,Chuy's Holdings Inc,호텔 및 엔터테인먼트,533010
1414,SBNYP,Signature Bank ADR,은행,551010
1415,CARA,Cara Therapeutics Inc,생명과학 및 메디컬 리서치,562020
1416,HIII,Hudson Executive Investment Corp III Class A,기타 금융업,556010
1417,SOHU,Sohu.com Ltd ADR,소프트웨어 및 IT서비스,572010
1418,AOSL,Alpha and Omega Semiconductor Ltd,반도체 및 반도체 장비,571010
1419,GSBC,Great Southern Bancorp Inc,은행,551010
1420,ATNI,ATN International Inc,통신 서비스,574010
1421,CTRN,Citi Trends Inc,전문품 상점,534030
1422,VSTA,Vasta Platform Ltd Class A,비즈니스교육,631030
1423,ALLT,Allot Ltd,호텔 및 엔터테인먼트,533010
1424,CMRX,Chimerix Inc,생명과학 및 메디컬 리서치,562020
1425,ARDX,Ardelyx Inc,생명과학 및 메디컬 리서치,562020
1426,RIGL,Rigel Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
1427,SRDX,Surmodics Inc,헬스케어 장비 및 용품,561010
1428,VWE,Vintage Wine Estates Inc,음료,541010
1429,TARS,Tarsus Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
1430,LAND,Gladstone Land Corp,주택 및 상업용 리츠,601020
1431,CTBI,Community Trust Bancorp Inc,은행,551010
1432,AKYA,Akoya Biosciences Inc,헬스케어 장비 및 용품,561010
1433,MSDA,MSD Acquisition Corp Class A,기타 금융업,556010
1434,SCSC,Scansource Inc,"컴퓨터, 전화 및 가전제품",571060
1435,ABST,Absolute Software Corp,소프트웨어 및 IT서비스,572010
1436,BLBD,Blue Bird Corp,"건설장비 및 대형차, 기차, 배",521020
1437,LGAC,Lazard Growth Acquisition Corp I,기타 금융업,556010
1438,CLNN,Clene Inc.,생명과학 및 메디컬 리서치,562020
1439,SCOA,Scion Tech Growth I Class A,기타 금융업,556010
1440,BPYU,Brookfield Property REIT Inc Class A,주택 및 상업용 리츠,601020
1441,CMLT,CM Life Sciences III Inc Class A,기타 금융업,556010
